注意,tsu3-i3
啥貨,siann2-hue3
請問,tshiann2-mng7
當時,tang1-si5,tong1-si5,tng1-si5
車位,tshia1-ui7
佗,toh4,to2
空格仔,khang3-keh4-a2
內,lai7
揀,king2
選項,suan2-hang7
上,siong7,siang7,tsiunn7
妥當,tho3-tong3
下底,e7-te2
句,ku3
講法,kong2-huat4
台語,tai5-gi2
描述,biau5-sut8
內容,lue7-iong5
替,the3
下跤,e7-kha1
項,hang7
符合,hu5-hap8
對話,tui3-ue7
情境,tsing5-king2
阿賢,a1-hian5
歲,hue3
氣口,khui3-khau2
袂輸,be7-su1
大,tua7
老師,lau7-su1
意思,i3-su3
睏去矣,khun3--khi3--ah4
聽的,thiann1--e5
敲,kha3
電話,tian7-ue7
揣,tshue7
方,png1,hong1
小姐的,sio2-tsia2--e5
阿婆,a1-po5
先生娘,sian1-sinn1-niu5
可能,kho2-ling5
關係,kuan1-he7
留,lau5
字條仔,ji7-tiau5-a2
母仔,bu2--a2
轉來,tng2--lai5,tng2-lai5
寫,sia2
查某囝,tsa1-boo2-kiann2
排,pai5
第,te7
丁,ting1
太太,thai3-thai3
金瓜,kim1-kue1
香菇,hiunn1-koo1
結頭菜,kiat4-thau5-tshai3
菜,tshai3
阿娘,a1-nia5
搖,io5
阿爹,a1-tia1
惜,sioh4
搖來搖去,io5-lai5-io5-khi3
阿弟仔,a1-ti7-a2
睏無,khun3--bo5
問,mng7
老母,lau7-bu2
食飽矣未,tsiah8-pa2--ah4--be7
抑,iah8,ah8,ah4
彼,he1,hit4
阿妹仔,a1-me1-a2
台南,tai5-lam5
講咧,kong2--leh4
拜,pai3
培墓,pue7-bong7
明仔載,bin5-a2-tsai3
初,tshe1,tshoo1
公元,kong1-guan5
年,ni5
箍,khoo1
十點,tsap8-tiam2
來去,lai5-khi3
會使無,e7-sai2--bo5
枝,ki1
甕,ang3
酒,tsiu2
著無,tioh8--bo5
的乎,e5--honnh4
任,jim7
里長,li2-tiunn2
阿賓伯,a1-pin1-peh4
著毋,tioh8--m7
最近,tsue3-kin7
身體,sin1-the2
好無,ho2--bo5
近來,kin7-lai5,kin7--lai5
好毋,ho2--m7
過了,kue3-liau2
錢無,tsinn5--bo5
來袂,lai5--be7
會曉袂,e7-hiau2--be7
做伙,tso3-hue2
食飯無,tsiah8-png7--bo5
鬥陣,tau3-tin7
食飯乎,tsiah8-png7--honnh4
借,tsioh4
袂使,be7-saih4,be7-sai2
穿,tshing7
媠,sui2
疼矣,thiann3--ah4
病院,penn7-inn7,penn7-inn3
食飽,tsiah8-pa2
未,be7,bue7
陳先生,tan5--sian1-sinn1
身軀,sing1-khu1,sin1-khu1
爽快,song2-khuai3
感覺,kam2-kak4
發燒,huat4-sio1
畏寒,ui3-kuann5
嚨喉,na5-au5
擽擽,ngiau1-ngiau1
有時仔,u7-si5-a2
嗽,sau3
半暝,puann3-me5
痰,tham5
色的,sik4--e5
青色,tshenn1-sik4
膿,lang5
毋過,m7-ko3,m7-koh4
有當時仔,u7-tang1-si5-a2
內底,lai7-te2
血,hueh4
小等一下,sio2-tan2--tsit8-e7
等咧,tan2--leh4
喝著,huah4-tioh8
名,mia5
入來,lip8--lai5,lip8-lai5,jip8--lai5,jip8-lai5
先生,sian1-sinn1
會用得,e7-ing7-eh4,e7-ing7-tsit4
報告矣,po3-ko3--ah4
照,tsiau3
檢查,kiam2-tsa1
結果,kiat4-ko2
流感,liu5-kam2
嚴重,giam5-tiong7
感冒,kam2-moo7
爾爾,nia7-nia7
開,khui1,khai1
另外,ling7-gua7
種,tsing2,tsiong2,tsiong3,tsing3
退燒,the3-sio1
予你,hoo7--li2
若是,na2-si7,na7-si7
粉紅的,hun2-ang5--e5
過,kue3,ke3
點鐘,tiam2-tsing1
猶是,ia2-si7,iau2-si7,iah4-si7
無效,bo5-hau7
粒,liap8
代誌啦乎,tai7-tsi3--lah4--honnh4
等,tan2,ting2
藥單,ioh8-tuann1
健保卡,kian7-po2-khah4
挈,kheh8
張,tiunn1,tng1
對,ui3,tui3
爿,ping5
樓梯,lau5-thui1
行起去,kiann5--khi2-li3
五,goo7,ngoo2
樓,lau5
領,nia2
平,penn5
躼,lo3
仝款,kang7-khuan2,kang5-khuan2
阿美仔,a1-bi2--a2
平平仔,penn5-penn5-a2
十八,tsap8-peh4
倍,pue7
巧,khiau2
遐,hiah4,hia1
用功,iong7-kong1
拍拚,phah4-piann3
成,siann5,tsiann5,sing5
歹心,phainn2-sim1
親像,tshan1-tshiunn7,tshin1-tshiunn7
豬,ti1
大箍,tua7-khoo1
目睭,bak8-tsiu1
阿姨,a1-i5
蕊,lui2
心,sim1
遐爾,hiah4-ni7
冷,ling2
烏面抐桮,oo1-bin7-la7-pue1
厝角鳥,tshu3-kak4-tsiau2
隻,tsiah4
鹿仔樹,lok8-a2-tshiu7
樟仔,tsiunn1-a2
發,huat4
密,bat8
駛車,sai2-tshia1
坐,tse7
火車,hue2-tshia1
俗,siok8
珊瑚礁,suan1-oo5-tsiau1
海草礁,hai2-tshau2-ta1
生,senn1,sing1
慢,ban7
蛇龜,tsua5-ku1
走,tsau2
蛇,tsua5
蚵仔,o5-a2
螺仔,le5-a2
貴,kui3
魚仔,hi5-a2
軟絲仔,nng2-si1-a2
泅,siu5
市仔,tshi7-a2
賣的,be7--e5
超市,tshiau1-tshi7
閣較,koh4-khah4
蝶仔,iah8-a2
鳥仔,tsiau2-a2
飛,pue1,pe1
遠,hng7
